City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,pamekasan,-7.1568,113.4746,25.56,82,100,1.68,ID,1680889100
202,dikson,73.5069,80.5464,-31.5,100,87,4.25,RU,1680889100
203,gasa,31.5,34.4667,18.82,60,70,2.49,PS,1680889101
204,aquiraz,-3.9014,-38.3911,27.05,77,91,3.97,BR,1680889101
205,wajir,1.7471,40.0573,29.98,62,40,1.54,KE,1680889101
206,goderich,43.7501,-81.7165,2.73,55,46,6.17,CA,1680889102
207,ambilobe,-13.2,49.05,23.93,91,21,1.36,MG,1680889102
208,ancud,-41.8697,-73.8203,14.19,68,95,2.31,CL,1680889103
209,torbay,47.6666,-52.7314,7.16,79,75,10.29,CA,1680889103
210,fukue,32.6881,128.8419,11.34,57,3,12.75,JP,1680889104
211,chuy,-33.6971,-53.4616,22.71,55,99,4.17,UY,1680889105
212,asfi,32.2994,-9.2372,18.26,76,0,2.81,MA,1680889105
213,whitehorse,60.7161,-135.0538,2.43,69,20,4.63,CA,1680889106
214,huarmey,-10.0681,-78.1522,27.05,69,100,3.55,PE,1680889106
215,soyo,-6.1349,12.3689,27.14,82,100,3.2,AO,1680889107
216,port elizabeth,-33.918,25.5701,19.16,76,0,6.17,ZA,1680889107
217,ahipara,-35.1667,173.1667,14.99,85,100,3.23,NZ,1680889108
218,sindor,62.8629,51.8905,-6.01,94,92,2.62,RU,1680889109
219,berlevag,70.8578,29.0864,3.0,75,100,4.63,NO,1680889110
220,fairbanks,64.8378,-147.7164,-13.77,76,0,1.54,US,1680889110
221,morozovsk,48.3539,41.8261,12.44,62,73,4.72,RU,1680889112
222,arrifes,37.7667,-25.7,11.14,71,75,6.69,PT,1680889113
223,mannarakkat,10.9833,76.4667,25.88,83,59,0.63,IN,1680889113
224,provideniya,64.3833,-173.3,-25.73,96,77,1.82,RU,1680889114
225,katsuura,35.1333,140.3,18.63,92,99,10.81,JP,1680889114
226,saldanha,-33.0117,17.9442,17.03,84,97,8.5,ZA,1680889115
227,hamilton,39.1834,-84.5333,13.82,42,0,6.17,US,1680889115
228,clyde river,70.4692,-68.5914,-18.87,71,40,4.12,CA,1680889116
229,caserta,41.0832,14.3349,13.51,63,29,2.0,IT,1680889116
230,bengkulu,-3.8004,102.2655,24.48,87,99,1.8,ID,1680889117
231,baruun-urt,46.6806,113.2792,0.96,33,1,5.06,MN,1680889117
232,dekernes,31.0876,31.595,16.06,78,20,4.27,EG,1680889118
233,manching,48.7166,11.4939,10.62,57,94,1.54,DE,1680889118
234,verkhnevilyuysk,63.4453,120.3167,-8.95,95,91,2.94,RU,1680889119
235,los llanos de aridane,28.6585,-17.9182,17.86,70,75,2.68,ES,1680889119
236,zharkent,44.1628,80.0,11.73,64,100,10.28,KZ,1680889120
237,dire,12.2833,-10.9667,38.5,11,87,1.16,ML,1680889120
238,stony plain,53.5334,-114.0021,6.52,61,0,4.63,CA,1680889121
239,ixtapa,20.7,-105.2,24.57,69,20,3.6,MX,1680889121
240,nikolskoye,59.7035,30.7861,5.94,94,35,2.15,RU,1680889122
241,mahibadhoo,3.7833,72.9667,28.02,68,70,0.87,MV,1680889122
242,victoria,22.2855,114.1577,22.89,86,64,0.45,HK,1680889007
243,shirokiy,49.758,129.523,-0.32,72,94,5.78,RU,1680889123
244,grand gaube,-20.0064,57.6608,26.22,77,58,0.89,MU,1680889124
245,coquimbo,-29.9533,-71.3436,17.85,82,75,7.2,CL,1680889078
246,tucuman,-26.8241,-65.2226,27.0,65,20,2.06,AR,1680889125
247,gorontalo,0.5412,123.0595,23.51,96,87,1.52,ID,1680889125
248,yulara,-25.2406,130.9889,17.46,42,17,3.42,AU,1680889126
249,kualakapuas,-3.0091,114.3876,23.4,95,100,0.84,ID,1680889127
250,itamaraca,-7.7478,-34.8256,30.03,66,72,5.0,BR,1680889127
251,lively,46.4334,-81.1498,-1.49,55,20,3.74,CA,1680889128
252,ulladulla,-35.35,150.4667,15.66,71,62,5.21,AU,1680889128
253,aguimes,27.9054,-15.4461,19.35,60,20,8.75,ES,1680889128
254,mirnyy,62.5353,113.9611,-21.21,89,82,2.56,RU,1680889129
255,norman wells,65.282,-126.8329,-11.98,72,75,6.17,CA,1680889130
256,gogrial,8.5332,28.1004,33.33,12,10,1.9,SS,1680889130
257,hasaki,35.7333,140.8333,18.45,92,100,14.68,JP,1680889131
258,moctezuma,29.8,-109.6667,24.6,11,0,1.96,MX,1680889131
259,darnah,32.767,22.6367,13.93,66,70,4.89,LY,1680889132
260,fernie,49.5,-115.0687,10.05,81,100,2.48,CA,1680889132
261,longhua,23.6137,114.1919,16.46,78,27,1.61,CN,1680889133
262,kloulklubed,7.0419,134.2556,25.28,61,100,5.85,PW,1680889133
263,kargala,56.6208,83.9607,-12.84,80,34,4.21,RU,1680889134
264,raga,8.4596,25.678,30.08,15,56,1.47,SS,1680889134
265,khasan,42.4308,130.6434,2.39,42,15,1.51,RU,1680889135
266,joppatowne,39.4579,-76.3552,13.95,33,100,3.6,US,1680889136
267,pokoynoye,44.8097,44.2517,14.15,55,100,2.65,RU,1680889136
268,bardstown,37.8092,-85.4669,12.52,46,100,5.66,US,1680889137
269,uyemskiy,64.4743,40.8524,-2.97,63,0,1.0,RU,1680889137
270,isabela,6.7085,121.9711,25.88,83,39,3.35,PH,1680889087
271,vila,42.0304,-8.1588,17.49,58,77,1.91,PT,1680889138
272,bondo,3.8146,23.6866,24.57,68,68,1.7,CD,1680889138
273,poum,-20.2333,164.0167,24.88,67,4,1.85,NC,1680889139
274,axim,4.8699,-2.2405,28.02,78,94,4.64,GH,1680889139
275,ginir,7.1333,40.7,15.97,81,100,1.06,ET,1680889140
276,fuyu,45.1833,124.8167,-0.14,60,77,4.77,CN,1680889140
277,tangshan,39.6333,118.1833,8.43,29,0,5.77,CN,1680889142
278,kuytun,54.3419,101.5036,3.0,61,39,5.04,RU,1680889143
279,severo-yeniseyskiy,60.3725,93.0408,-24.6,97,100,2.54,RU,1680889144
280,ilhabela,-23.7781,-45.3581,22.22,94,100,0.81,BR,1680889144
281,xining,36.6167,101.7667,2.55,52,100,0.25,CN,1680889145
282,gewane,10.1664,40.6453,29.97,49,98,3.79,ET,1680889146
283,vilyuysk,63.7553,121.6247,-3.64,94,100,3.44,RU,1680889146
284,marzuq,14.4,46.4667,22.19,72,71,3.39,YE,1680889147
285,uige,-7.6087,15.0613,20.31,98,99,0.86,AO,1680889148
286,chumikan,54.7183,135.315,-6.37,95,100,6.13,RU,1680889148
287,barabai,-2.5833,115.3833,23.19,96,97,0.45,ID,1680889149
288,korla,41.7597,86.1469,9.29,18,6,3.52,CN,1680889149
289,sabha,27.0377,14.4283,26.49,16,100,6.99,LY,1680889150
290,bontang,0.1333,117.5,24.08,91,100,1.48,ID,1680889150
291,mattru,7.6244,-11.8332,30.43,60,92,3.28,SL,1680889151
292,ginda,30.6945,78.4932,10.84,37,0,3.63,IN,1680889151
293,severo-kurilsk,50.6789,156.125,0.37,97,100,10.72,RU,1680889152
294,aswan,24.0934,32.907,34.61,5,0,2.06,EG,1680889026
295,morondava,-20.2833,44.2833,26.53,81,85,3.35,MG,1680889153
296,maningrida,-12.0667,134.2667,24.4,93,100,1.92,AU,1680889153
297,port antonio,18.18,-76.4612,28.95,62,29,3.1,JM,1680889154
298,severobaykalsk,55.65,109.3167,-4.73,89,99,0.71,RU,1680889154
299,haines junction,60.7522,-137.5108,0.97,55,100,2.06,CA,1680889155
300,sechura,-5.5569,-80.8222,29.44,60,77,4.61,PE,1680889156
301,senador guiomard,-10.1522,-67.7392,27.86,92,97,2.12,BR,1680889156
302,padang,-0.9492,100.3543,25.03,88,94,1.39,ID,1680889157
303,college,64.8569,-147.8028,-13.78,76,0,1.54,US,1680889131
304,znamenskoye,57.1281,73.8282,-9.86,80,6,1.84,RU,1680889158
305,geraldton,-28.7667,114.6,17.23,67,100,3.6,AU,1680889158
306,pacific grove,36.6177,-121.9166,13.57,82,100,4.47,US,1680889159
307,caibarien,22.5206,-79.4669,29.62,57,24,7.06,CU,1680889159
308,luanda,-8.8368,13.2343,28.0,78,75,3.6,AO,1680889160
309,topolobampo,25.6,-109.05,21.95,53,0,5.14,MX,1680889160
310,comodoro rivadavia,-45.8667,-67.5,15.92,39,0,7.2,AR,1680889121
311,nhamunda,-2.1861,-56.7131,30.97,56,91,1.82,BR,1680889161
312,la rioja,42.25,-2.5,18.88,41,46,0.67,ES,1680889162
313,beyneu,45.3167,55.2,17.74,35,87,4.89,KZ,1680889163
314,peniche,39.3558,-9.3811,22.82,72,13,4.67,PT,1680889163
315,tecoanapa,16.5167,-98.75,29.43,52,0,4.51,MX,1680889164
316,sept-iles,50.2001,-66.3821,2.24,52,75,11.32,CA,1680888881
317,cap malheureux,-19.9842,57.6142,25.26,78,55,0.89,MU,1680889165
318,havre,49.5833,0.3333,12.22,58,0,4.63,FR,1680889165
319,comarapa,-17.9,-64.4833,18.78,65,80,1.99,BO,1680889166
320,makhachkala,42.9764,47.5024,8.99,86,68,2.6,RU,1680889166
321,paamiut,61.994,-49.6678,0.34,70,26,6.54,GL,1680889166
322,chebarkul,54.9749,60.3633,-2.47,38,0,1.8,RU,1680889167
323,chakia,26.4167,85.05,25.6,13,65,3.86,IN,1680889168
324,daund,18.4667,74.6,26.07,55,56,2.92,IN,1680889169
325,cacapava do sul,-30.5122,-53.4914,20.0,63,100,4.82,BR,1680889170
326,mujiayingzi,42.1167,118.7833,1.18,32,2,2.72,CN,1680889170
327,eyemouth,55.8713,-2.0901,10.45,91,98,2.35,GB,1680889171
328,dzhebariki-khaya,62.2167,135.8,-28.22,93,19,1.02,RU,1680889171
329,trinidad,-14.8333,-64.9,28.99,61,75,4.63,BO,1680889172
330,sakaiminato,35.55,133.2333,7.99,93,40,1.54,JP,1680889172
331,hudiksvall,61.729,17.1036,1.19,92,95,1.81,SE,1680889173
332,belmonte,-15.8631,-38.8828,28.35,66,42,2.97,BR,1680889174
333,hofn,64.2539,-15.2082,7.18,84,100,8.87,IS,1680889174
334,challapata,-18.9,-66.7667,14.12,32,21,4.82,BO,1680889175
335,seddon,-37.8068,144.8916,16.53,88,75,7.2,AU,1680889176
336,mahon,39.8885,4.2658,15.31,63,0,3.09,ES,1680889176
337,morden,49.1919,-98.1014,-3.84,73,25,3.09,CA,1680889177
338,ixtacomitan,17.4167,-93.1,30.88,56,23,2.57,MX,1680889177
339,oskemen,49.9565,82.6119,13.98,41,100,7.0,KZ,1680889178
340,biak,-0.9131,122.8766,24.67,76,90,1.76,ID,1680889179
341,gangapur,26.4833,76.7167,26.93,16,17,4.07,IN,1680889179
342,takoradi,4.8845,-1.7554,28.17,77,100,5.3,GH,1680889180
343,sioux lookout,50.1001,-91.917,-0.96,55,75,3.6,CA,1680889174
344,seduva,55.7667,23.7667,11.24,89,98,2.88,LT,1680889181
345,bezhetsk,57.7851,36.6965,2.78,70,19,3.38,RU,1680889181
346,batemans bay,-35.7167,150.1833,12.45,84,52,2.65,AU,1680889181
347,pangnirtung,66.1451,-65.7125,-19.0,78,20,3.6,CA,1680889182
348,labuhan,-6.8844,112.2051,25.17,86,99,3.17,ID,1680889182
349,prince albert,53.2001,-105.7677,-4.03,68,0,5.66,CA,1680889183
350,valparaiso,-33.0393,-71.6273,22.13,59,0,3.09,CL,1680889183
351,kodiak,57.79,-152.4072,-1.27,69,100,3.09,US,1680889184
352,mweka,-4.85,21.5667,25.13,69,76,1.11,CD,1680889184
353,castro,-24.7911,-50.0119,20.26,83,94,1.79,BR,1680889185
354,necochea,-38.5473,-58.7368,26.0,40,1,1.76,AR,1680889000
355,sabang,5.8933,95.3214,28.2,72,92,1.72,ID,1680889186
356,caravelas,-17.7125,-39.2481,28.67,60,31,4.07,BR,1680889186
357,kaitangata,-46.2817,169.8464,4.66,91,10,1.4,NZ,1680889187
358,byron bay,-28.65,153.6167,19.84,87,26,4.49,AU,1680889187
359,kavaratti,10.5669,72.642,28.26,73,5,2.78,IN,1680889188
360,muros,42.7762,-9.0603,24.27,50,90,0.43,ES,1680889188
361,masunga,-20.6246,27.4488,22.17,30,3,2.19,BW,1680889189
362,payson,40.0444,-111.7321,10.14,36,75,3.09,US,1680888915
363,maymyo,22.0333,96.4667,22.17,29,1,0.88,MM,1680889190
364,volkhov,59.9258,32.3382,-0.25,96,34,2.02,RU,1680889190
365,boden,65.8252,21.6886,1.0,96,83,2.39,SE,1680889191
366,north battleford,52.7834,-108.2847,-1.44,79,0,10.8,CA,1680889016
367,east bethel,45.3194,-93.2025,6.71,56,0,5.14,US,1680889192
368,kiruna,67.8557,20.2251,-0.49,86,75,1.54,SE,1680889193
369,chara,56.9064,118.2631,-10.56,77,98,1.04,RU,1680889193
370,marawi,7.9986,124.2928,19.19,93,61,0.62,PH,1680889194
371,fort nelson,58.8053,-122.7002,7.77,53,75,2.06,CA,1680888962
372,narsaq,60.9167,-46.05,4.12,66,27,2.27,GL,1680889195
373,neryungri,56.6709,124.6491,-20.99,99,46,1.89,RU,1680889195
374,udaipur,24.5712,73.6918,26.8,19,98,2.96,IN,1680889051
375,yuxia,34.0615,108.6291,11.34,40,97,0.88,CN,1680889196
376,reynoldsburg,39.9548,-82.8121,13.04,37,100,4.12,US,1680889196
377,tigil,57.8,158.6667,-17.77,100,79,1.28,RU,1680889197
378,tanout,14.9709,8.8879,33.15,9,14,3.14,NE,1680889197
379,belyy yar,53.6039,91.3903,-0.06,64,0,9.0,RU,1680889199
380,hambantota,6.1241,81.1185,26.62,76,54,3.63,LK,1680889199
381,bosaso,11.2842,49.1816,27.51,77,46,0.82,SO,1680889028
382,chabahar,25.2919,60.643,24.06,69,1,1.96,IR,1680889200
383,pineville,31.3224,-92.4343,14.4,90,100,3.09,US,1680889088
384,collie,-33.3667,116.15,13.83,67,99,4.57,AU,1680889201
385,oranjestad,12.524,-70.027,28.97,70,75,8.23,AW,1680888946
386,myaundzha,63.0494,147.1858,-25.99,99,52,0.9,RU,1680889202
387,newry,54.1784,-6.3374,10.06,82,91,3.94,GB,1680889203
388,orel,52.9658,36.0803,9.62,69,99,3.82,RU,1680889204
389,waingapu,-9.6567,120.2641,25.18,86,100,2.35,ID,1680889204
390,vincennes,48.85,2.4333,13.9,57,75,5.14,FR,1680889205
391,westerland,54.9079,8.3033,8.01,61,20,6.69,DE,1680889205
392,basco,20.4487,121.9702,23.6,83,94,14.06,PH,1680889206
393,praya,14.9215,-23.5087,27.3,54,0,8.75,CV,1680889067
394,lata,40.1629,-8.3327,18.78,46,28,2.39,PT,1680889208
395,bayir,37.2687,28.2167,11.29,81,17,1.45,TR,1680889208
396,santa rosa,14.3122,121.1114,28.39,77,86,2.3,PH,1680888906
397,la ronge,55.1001,-105.2842,1.14,47,0,4.63,CA,1680889209
398,north bend,43.4065,-124.2243,10.51,94,100,3.6,US,1680889045
399,honiara,-9.4333,159.95,25.15,87,43,1.42,SB,1680889210
400,slonim,53.0867,25.3219,6.82,83,100,2.36,BY,1680889211
401,hami,42.8,93.45,11.65,11,82,1.68,CN,1680889212
402,ciupercenii noi,43.9097,22.9483,6.44,78,98,1.65,RO,1680889213
403,rio grande,-32.035,-52.0986,26.06,60,50,5.17,BR,1680889213
404,gao,16.6362,1.637,33.4,14,39,3.58,ML,1680889214
405,namatanai,-3.6667,152.4333,25.66,86,90,1.26,PG,1680889214
406,dalianwan,39.0286,121.695,6.02,61,0,3.0,CN,1680889214
407,teguise,29.0605,-13.564,19.12,56,20,5.14,ES,1680889215
408,two rivers,44.1539,-87.5693,5.0,56,0,5.14,US,1680889215
409,belaya gora,68.5333,146.4167,-28.6,100,93,1.12,RU,1680889216
410,chimbote,-9.0853,-78.5783,27.97,64,100,3.94,PE,1680889216
411,banjar,-8.19,114.9675,24.8,90,100,2.24,ID,1680889217
412,arkhipo-osipovka,44.37,38.52,9.96,91,95,3.58,RU,1680889218
413,sur,22.5667,59.5289,26.11,65,0,4.03,OM,1680889218
414,ishigaki,24.3448,124.1572,19.07,72,100,7.72,JP,1680889219
415,nome,64.5011,-165.4064,-28.96,100,20,0.0,US,1680888811
416,la asuncion,11.0333,-63.8628,26.84,67,100,9.82,VE,1680889220
417,wote,-1.7808,37.6288,19.73,86,41,0.8,KE,1680889221
418,aklavik,68.2191,-135.0107,-14.37,93,100,7.07,CA,1680889222
419,nurota,40.5614,65.6886,17.04,51,70,2.74,UZ,1680889222
420,zhaodong,46.0833,125.9833,-2.02,83,88,2.23,CN,1680889223
421,ossora,59.2353,163.0719,-18.03,88,4,2.48,RU,1680889224
422,nabire,-3.3667,135.4833,23.78,91,100,1.57,ID,1680889225
423,alpena,45.0617,-83.4327,2.84,50,100,3.6,US,1680889225
424,la fleche,47.6982,-0.0755,16.14,68,96,2.14,FR,1680889226
425,cockburn town,21.4612,-71.1419,25.04,71,53,10.17,TC,1680889226
426,quatre cocos,-20.2078,57.7625,26.06,74,63,5.34,MU,1680889227
427,alindao,5.0267,21.2088,26.14,61,73,3.79,CF,1680889227
428,sajanan,37.0573,9.2426,14.51,55,82,3.18,TN,1680889229
